Stock Name,Index
Five-Star Business Finance Ltd.,NIFTY 500
Force Motors Ltd.,NIFTY 500
Fortis Healthcare Ltd.,NIFTY 500
GAIL (India) Ltd.,NIFTY 500
GE Vernova T&D India Ltd.,NIFTY 500
GMR Airports Ltd.,NIFTY 500
Garden Reach Shipbuilders & Engineers Ltd.,NIFTY 500
General Insurance Corporation of India,NIFTY 500
Gillette India Ltd.,NIFTY 500
Gland Pharma Ltd.,NIFTY 500
Glaxosmithkline Pharmaceuticals Ltd.,NIFTY 500
Glenmark Pharmaceuticals Ltd.,NIFTY 500
Global Health Ltd.,NIFTY 500
Go Digit General Insurance Ltd.,NIFTY 500
Godawari Power & Ispat Ltd.,NIFTY 500
Godfrey Phillips India Ltd.,NIFTY 500
Godrej Agrovet Ltd.,NIFTY 500
Godrej Consumer Products Ltd.,NIFTY 500
Godrej Industries Ltd.,NIFTY 500
Godrej Properties Ltd.,NIFTY 500
Granules India Ltd.,NIFTY 500
Graphite India Ltd.,NIFTY 500
Grasim Industries Ltd.,NIFTY 500
Gravita India Ltd.,NIFTY 500
Great Eastern Shipping Co. Ltd.,NIFTY 500
Gujarat Fluorochemicals Ltd.,NIFTY 500
Gujarat Gas Ltd.,NIFTY 500
Gujarat Mineral Development Corporation Ltd.,NIFTY 500
Gujarat State Petronet Ltd.,NIFTY 500
H.E.G. Ltd.,NIFTY 500
HBL Engineering Ltd.,NIFTY 500
HCL Technologies Ltd.,NIFTY 500
HDFC Asset Management Company Ltd.,NIFTY 500
HDFC Bank Ltd.,NIFTY 500
HDFC Life Insurance Company Ltd.,NIFTY 500
HFCL Ltd.,NIFTY 500
Happiest Minds Technologies Ltd.,NIFTY 500
Havells India Ltd.,NIFTY 500
Hero MotoCorp Ltd.,NIFTY 500
Hexaware Technologies Ltd.,NIFTY 500
Himadri Speciality Chemical Ltd.,NIFTY 500
Hindalco Industries Ltd.,NIFTY 500
Hindustan Aeronautics Ltd.,NIFTY 500
Hindustan Copper Ltd.,NIFTY 500
Hindustan Petroleum Corporation Ltd.,NIFTY 500
Hindustan Unilever Ltd.,NIFTY 500
Hindustan Zinc Ltd.,NIFTY 500
Hitachi Energy India Ltd.,NIFTY 500
Home First Finance Company India Ltd.,NIFTY 500
Honasa Consumer Ltd.,NIFTY 500
Honeywell Automation India Ltd.,NIFTY 500
Housing & Urban Development Corporation Ltd.,NIFTY 500
Hyundai Motor India Ltd.,NIFTY 500
ICICI Bank Ltd.,NIFTY 500
ICICI Lombard General Insurance Company Ltd.,NIFTY 500
ICICI Prudential Life Insurance Company Ltd.,NIFTY 500
IDBI Bank Ltd.,NIFTY 500
IDFC First Bank Ltd.,NIFTY 500
IFCI Ltd.,NIFTY 500
IIFL Finance Ltd.,NIFTY 500
